movielensId,genre
1,3
1,4
1,5
1,6
1,10
2,3
2,5
2,10
3,6
3,16
4,6
4,9
4,16
5,6
6,2
6,7
6,18
7,6
7,16
8,3
8,5
9,2
10,2
10,3
10,18
11,6
11,9
11,16
12,6
12,12
13,3
13,4
13,5
14,9
15,2
15,3
15,16
16,7
16,9
17,9
17,16
18,6
19,6
20,2
20,6
20,7
20,9
20,18
21,6
21,7
21,18
22,7
22,9
22,12
22,15
22,18
23,2
23,7
23,18
24,9
24,17
25,9
25,16
26,9
27,5
27,9
28,9
28,16
29,3
29,9
29,10
29,15
29,17
31,9
32,15
32,17
32,18
34,5
34,9
36,7
36,9
39,6
39,16
41,9
41,19
42,2
42,7
42,9
43,9
44,2
44,3
44,10
45,6
45,9
45,18
46,9
46,16
47,15
47,18
48,4
48,5
48,9
48,14
48,16
50,7
50,15
50,18
52,6
52,9
52,16
57,9
58,6
58,9
58,16
60,3
60,5
60,10
61,9
61,18
62,9
65,6
66,2
66,17
66,18
69,6
70,2
70,6
70,12
70,18
72,6
72,9
73,9
73,19
74,9
74,16
76,2
76,17
76,18
79,9
79,18
81,7
81,9
81,16
82,6
82,9
85,9
85,16
86,2
86,3
86,9
87,5
87,6
88,6
89,2
89,18
92,9
92,12
92,18
93,6
93,12
93,16
94,6
94,9
94,16
95,2
95,3
95,18
97,7
97,9
100,9
100,18
101,3
101,6
101,7
101,16
104,6
105,9
105,16
107,3
107,5
107,6
107,14
110,2
110,9
110,19
111,7
111,9
111,18
112,2
112,3
112,6
112,7
122,6
122,16
125,6
126,3
126,5
126,10
132,18
135,6
140,9
140,16
141,6
144,6
145,2
145,6
145,7
145,9
145,18
147,9
150,3
150,9
150,13
151,2
151,9
151,16
151,19
153,2
153,3
153,6
153,7
154,9
155,3
155,9
155,19
157,6
157,19
158,3
158,5
159,7
159,9
159,15
160,2
160,3
160,15
160,17
161,9
161,18
161,19
162,8
163,2
163,16
163,20
164,7
164,11
164,15
164,18
165,2
165,7
165,18
168,2
168,9
168,16
169,3
169,5
169,9
170,2
170,3
170,7
170,18
172,2
172,17
172,18
173,2
173,7
173,17
174,6
175,9
176,6
177,12
180,6
180,16
181,2
181,5
185,2
185,7
185,18
186,6
186,16
188,10
188,12
188,15
191,9
191,16
193,9
194,6
194,9
195,6
195,9
195,16
196,12
196,17
198,2
198,7
198,9
198,15
198,17
198,18
203,6
204,2
205,6
205,9
207,9
207,16
208,2
208,3
208,17
213,9
215,9
215,16
216,6
217,9
217,18
218,6
218,9
222,9
222,16
223,6
224,6
224,9
224,16
225,9
225,18
227,2
227,18
229,9
229,18
230,9
230,18
231,3
231,6
232,6
232,9
232,16
233,9
234,6
235,6
235,9
236,2
236,6
236,16
237,6
237,16
239,4
239,5
239,6
239,16
246,8
247,7
247,9
248,6
249,9
249,16
250,5
250,6
252,6
252,16
253,9
253,12
255,6
256,6
256,17
257,15
257,18
258,3
258,5
258,6
258,10
258,16
260,2
260,3
260,17
261,9
262,5
262,9
265,9
265,10
265,16
266,9
266,16
266,19
266,20
267,6
272,6
272,9
273,9
273,12
273,17
274,6
275,6
276,6
276,16
277,9
280,9
280,18
281,6
281,9
281,16
282,9
288,2
288,7
288,18
289,6
289,16
290,7
290,9
292,2
292,9
292,17
292,18
293,2
293,7
293,9
293,18
296,6
296,7
296,9
296,18
300,9
303,2
303,18
303,20
305,6
306,9
307,9
308,6
308,9
312,6
314,5
314,9
314,10
314,15
315,2
315,9
315,18
316,2
316,3
316,17
317,6
317,9
317,10
318,7
318,9
319,6
319,9
319,18
322,6
322,9
325,6
327,2
327,6
327,17
328,12
328,18
329,3
329,9
329,17
330,2
330,7
330,12
332,12
332,17
333,6
337,9
338,2
338,17
338,18
339,6
339,16
342,6
344,6
345,6
345,9
346,9
346,14
347,9
347,11
347,16
348,6
349,2
349,7
349,9
349,18
350,9
350,15
350,18
351,6
351,9
351,16
353,2
353,7
353,10
353,18
354,9
355,5
355,6
355,10
356,6
356,9
356,16
356,19
357,6
357,16
358,9
360,2
360,6
361,6
361,9
361,16
362,3
362,5
362,16
364,3
364,4
364,5
364,9
364,13
364,14
366,9
366,12
366,15
366,18
367,2
367,6
367,7
367,10
368,3
368,6
368,20
370,2
370,6
371,6
371,9
372,6
372,9
372,16
373,18
374,5
374,6
376,2
376,18
377,2
377,16
377,18
378,6
378,16
379,2
379,17
379,18
380,2
380,3
380,6
380,16
380,18
381,9
381,16
382,9
382,12
382,16
382,18
383,20
393,2
393,3
393,10
405,2
405,10
407,12
407,18
410,5
410,6
410,10
412,9
413,6
414,6
415,6
415,18
416,20
417,6
417,16
419,6
420,2
420,6
420,7
420,18
421,3
421,5
421,9
423,2
423,18
426,12
426,17
426,18
427,9
427,15
427,16
427,18
428,9
429,6
431,7
431,9
432,3
432,6
432,20
433,6
434,2
434,3
434,18
435,6
435,17
436,9
436,18
437,6
438,2
438,6
438,9
440,6
440,16
441,6
442,2
442,3
442,17
444,6
444,16
445,6
446,9
446,16
448,9
450,6
450,9
454,9
454,18
455,3
455,5
455,9
457,18
459,2
459,3
459,7
459,9
459,16
459,18
464,2
464,3
464,7
464,18
466,2
466,6
466,19
468,6
468,16
471,6
472,6
472,9
473,6
473,19
474,2
474,18
475,9
477,9
477,14
480,2
480,3
480,17
480,18
481,9
481,18
482,7
482,9
482,18
485,2
485,3
485,6
485,10
489,6
490,18
491,9
492,6
492,15
493,2
493,7
493,9
494,2
494,3
494,18
497,6
497,16
500,6
500,9
502,2
502,5
502,16
505,6
507,7
507,9
507,18
508,9
509,9
509,16
514,6
515,9
515,16
516,6
516,9
517,2
517,9
517,15
519,2
519,7
519,9
519,17
519,18
520,6
522,2
522,9
524,9
527,9
527,19
529,9
531,5
531,9
532,6
532,7
532,12
533,2
533,3
533,10
533,15
534,9
534,16
535,9
537,9
538,9
539,6
539,9
539,16
540,18
541,2
541,17
541,18
542,6
542,9
542,16
543,6
543,16
543,18
544,2
544,7
546,2
546,3
546,5
546,6
546,10
546,17
548,2
